time,ax,ay,az,gx,gy,gz
0.0,0.6251208073828369,0.911441475456953,1.271471303668618,-0.0572936236858367,0.3280593454837799,0.7153719067573547
0.009966308593746476,0.5432407618798315,0.8967068476617336,1.2293044790685177,-0.0749123021960258,0.3697077333927154,0.6907467246055603
0.01993115234375864,0.5381901274267584,0.8505033148914575,1.214625965374708,-0.0829374119639396,0.4157297313213348,0.6839027404785156
0.02989624023437898,0.588949898729287,0.8048296512141824,1.145979130128026,-0.0886557549238205,0.4455291926860809,0.6821684837341309
0.03986132812499932,0.6564426320374012,0.7142363570973277,1.0723901623040435,-0.0898575261235237,0.4535511136054992,0.6791224479675293
0.04982641601563387,0.7019637355014682,0.5980801671788096,0.9393278457701204,-0.0805316716432571,0.4233314096927643,0.6623232364654541
0.05979223632812136,0.7395549958143383,0.4888610830470919,0.8706757498264313,-0.0678676664829254,0.3991349041461944,0.6422389149665833
0.06975732421875591,0.7206982465878129,0.3882163505151867,0.8464122461855411,-0.0609487742185592,0.3743214309215545,0.6133894324302673
0.07972216796875387,0.68619399250485,0.3262579069912433,0.8335264611274004,-0.0626245141029357,0.3622004389762878,0.5907329320907593
0.0896872558593742,0.6357457348369061,0.2657631062790751,0.8231897760301828,-0.0787811204791069,0.3665957450866699,0.5718077421188354
0.09965209960937216,0.583713203652203,0.2575400523349642,0.7543044558525085,-0.1070015728473663,0.3762784302234649,0.5510108470916748
0.10961816406249625,0.5597689950935543,0.2322299622505903,0.667034168678522,-0.129199281334877,0.3871662318706512,0.5416724681854248
0.1195832519531308,0.5497972708512098,0.1899155458733439,0.5536281542509794,-0.1421294659376144,0.3932124078273773,0.5424621105194092
0.12954833984375114,0.4990514550087973,0.2032984667986631,0.4348573979198932,-0.1569102704524994,0.3959314823150635,0.5383544564247131
0.1395131835937491,0.4044611636776477,0.1827469694182276,0.2775461907923221,-0.1595924794673919,0.3924726247787475,0.5252602100372314
0.14947851562500603,0.3173758776817471,0.1661483013167977,0.0721995592921972,-0.1541527062654495,0.3761658370494842,0.5006158351898193
0.15944433593750773,0.2277260749600827,0.1331739602148532,-0.1410749425977468,-0.1374670714139938,0.3432560563087463,0.4733261466026306
0.1694089355468833,0.2073116844953969,0.0452291347801685,-0.3618003450155257,-0.1232260763645172,0.3046466112136841,0.4504938125610351
0.17937426757812602,0.1710621759139932,-0.0395557653188705,-0.5645873551607131,-0.1010588854551315,0.2686761915683746,0.4327658116817474
0.18933935546874636,0.1039213795823976,-0.0999921138420701,-0.7967576961785554,-0.0793658420443534,0.2320286929607391,0.4198116660118103
0.19930419921875853,-0.0117929300538264,-0.1427799929499626,-1.0229524699181318,-0.0503872968256473,0.1913612633943557,0.4068773984909057
0.20927001953124602,-0.1639337305398658,-0.1617708168849349,-1.231957623925805,-0.0128263402730226,0.161245971918106,0.3884328603744507
0.21923535156250296,-0.2942989352106117,-0.2093298559173941,-1.4026497061520815,0.0281831957399845,0.1541385799646377,0.3661091923713684
0.2292001953125009,-0.40024420356974,-0.2277919798031449,-1.50118022300899,0.0794072300195694,0.1779408454895019,0.3504077196121216
0.23916528320312125,-0.5026898115111514,-0.2283285708978772,-1.6018191103219983,0.1365859806537628,0.1496821939945221,0.3343642950057983
0.2491301269531334,-0.6113589701425284,-0.2406958850398659,-1.606551399540901,0.202717587351799,0.1546495258808136,0.3178668320178985
0.2590964355468799,-0.7545261357791722,-0.2288587322518229,-1.5429665238589048,0.2627578675746918,0.1466558128595352,0.293916255235672
0.26906103515625546,-0.873925107011199,-0.2667255215704441,-1.4015566502183674,0.3143715262413025,0.1187778413295745,0.269484132528305
0.2790261230468758,-0.9281045870967208,-0.3487333581715822,-1.2027414663136005,0.3439659178256988,0.1415269076824188,0.2284653037786483
0.28899121093749613,-0.8999771015040576,-0.4885939565435052,-0.9887100085765124,0.3401677012443542,0.1560536623001098,0.1826437562704086
0.2989562988281307,-0.8342001956705003,-0.5695870631441473,-0.7660118447810411,0.2940023839473724,0.1634836941957473,0.1237861514091491
0.3089221191406324,-0.7689946599841118,-0.5648232097432017,-0.6333639542669057,0.2202085852622985,0.155179426074028,0.0673132836818695
0.31888720703125273,-0.6915732743903994,-0.5517331342846155,-0.4922445880055427,0.1230346262454986,0.148427814245224,0.014235932379961
0.32885229492187307,-0.5635148670909926,-0.5952835221976042,-0.3484340829640627,0.0181327164173126,0.1521144360303878,-0.0258592870086431
0.3388173828125076,-0.4174443446956574,-0.7170908697456121,-0.2585539055526256,-0.0799969211220741,0.1733948439359665,-0.0592411048710346
0.3487832031250093,-0.2054368122679181,-0.866670021316409,-0.2786293098539114,-0.1661611050367355,0.1713455319404602,-0.0778960138559341
0.35874462890625125,-0.0150395655585452,-1.0718608777329326,-0.4063116869151592,-0.224078357219696,0.1444738805294037,-0.0848835110664367
0.3687097167968716,0.050547096666228,-1.1515379332989453,-0.5499836602687835,-0.2639975547790527,0.0572076849639415,-0.0977188795804977
0.37867480468750614,-0.0461149229050613,-1.0371674577534198,-0.718672585979104,-0.3070548474788666,-0.0906358361244201,-0.1309465169906616
0.3886394042968817,-0.2924310224468819,-0.809759508831799,-0.8352396947860717,-0.36777064204216,-0.2786672413349151,-0.1836984157562255
0.3986057128906282,-0.6990189872864634,-0.5185264457315206,-0.904475728097558,-0.4715557396411896,-0.461407333612442,-0.2591290473937988
0.40857055664062614,-1.169188302410394,-0.1246782268092036,-0.9867729030340908,-0.6053343415260315,-0.5782159566879272,-0.3533543348312378
0.4185356445312465,-1.659595153594762,0.2417775427967309,-1.1316548366993664,-0.7175717949867249,-0.624108076095581,-0.4287142753601074
0.42850048828125864,-1.959059161684662,0.512292812038958,-1.2904782019555567,-0.7737817764282227,-0.534457802772522,-0.4898386299610138
0.43846655273438273,-2.1046397451385856,0.8218143960237503,-1.3413561562776566,-0.7594835758209229,-0.321666270494461,-0.5098273158073425
0.44843164062500307,-2.1422376543879507,1.040535472881794,-1.4764081853240727,-0.6733622550964355,-0.0505537986755371,-0.4738935530185699
0.4583967285156234,-2.028237327329069,1.166844808024168,-1.5859277137070893,-0.5194006562232971,0.1987055540084839,-0.4111915826797485
0.46836157226562136,-1.7582263543471692,1.316890408062935,-1.7677859175920485,-0.316249668598175,0.3216162919998169,-0.3465752899646759
0.4783266601562559,-1.497399389296025,1.4583821147680285,-1.8200304840922357,-0.0757529214024543,0.3692340552806854,-0.2893445789813995
0.48829272460938,-1.310574210653454,1.4201505837902426,-1.5321797569066284,0.1685609519481659,0.3530396223068237,-0.2180293947458267
0.49825732421875557,-1.102608482696116,1.4313421321511268,-1.31548171030879,0.3960191607475281,0.2309319525957107,-0.1839915663003921
0.5082226562499983,-0.9368476463269442,1.3719558772027491,-1.0806950493127108,0.6027555465698242,0.0353619195520877,-0.1829122006893158
0.5181874999999962,-0.786343050474301,1.3007120112001895,-0.748363375365734,0.7869934439659119,-0.2015333175659179,-0.2201142758131027
0.5281535644531345,-0.6417930521771311,1.202326748032868,-0.4608066626906394,0.9164054989814758,-0.4478509724140167,-0.2657821476459503
0.5381184082031325,-0.5991690218614414,1.132127714908123,0.023879472759366,0.9763695001602172,-0.6287137269973755,-0.2981170415878296
0.5480837402343752,-0.6094655941439792,1.0759691898345949,0.5086801744997501,0.9592717885971068,-0.7441726922988892,-0.3227709829807281
0.5580485839843732,-0.5919301201164722,1.0544529390752315,0.8166612510442733,0.8891143798828125,-0.8324060440063477,-0.3481737673282623
0.5680136718750077,-0.6013624767851085,1.033144193586707,0.9972907899171112,0.7930882573127747,-0.8842146396636963,-0.3702197074890136
0.5779797363281318,-0.6921113267898559,1.0077645453974604,1.1581009450763464,0.6914894580841064,-0.883606493473053,-0.3895236849784851
0.5879445800781298,-0.7937249043539166,1.033254083701968,1.352461487659812,0.578312337398529,-0.8431400656700134,-0.4102859497070312
0.5979094238281277,-0.8717226285308599,1.1099123759686946,1.4520026428639887,0.4468360245227813,-0.7731770873069763,-0.4330105185508728
0.6078745117187481,-0.9205947959885,1.1612708072841167,1.5641531042724848,0.3199302852153778,-0.662628173828125,-0.4554713666439056
0.6178405761718722,-0.9482432658925652,1.1867951246410609,1.7342495586931703,0.2038337439298629,-0.5188242197036743,-0.4715902507305145
0.6278056640625067,-0.8542961313031613,1.1987193711906672,1.8240256912082435,0.1021148413419723,-0.3715817332267761,-0.4862589538097381
0.6377705078125047,-0.7105105415072291,1.193394961297512,1.911755997109413,0.0038400734774768,-0.2409338802099228,-0.4927711486816406
0.6477358398437474,-0.5313310553122311,1.1926987957268953,2.00941382278502,-0.0782241746783256,-0.1322076767683029,-0.4934042096138
0.6577016601562491,-0.3124277172224596,1.149423717623949,2.027507113358378,-0.1335710287094116,-0.0770904272794723,-0.4857968389987945
0.667666503906247,-0.08059033448603,1.0938327633053064,1.9312533092617987,-0.1604524403810501,-0.0821736007928848,-0.475752979516983
0.6776315917968816,0.0828892956107854,0.990002970996499,1.874576897794008,-0.1637587696313858,-0.1138427928090095,-0.4752093553543091
0.6875964355468795,0.2258989325981587,0.8628893337339162,1.8934575393527744,-0.1542781889438629,-0.1773533225059509,-0.477605402469635
0.6975625000000036,0.3947429392723366,0.7293629068195819,1.8385592434734104,-0.1510667949914932,-0.277346670627594,-0.4770209193229675
0.7075273437500016,0.5176611341390759,0.6005933190435171,1.845522068223357,-0.1495940685272216,-0.385427325963974,-0.477095752954483
0.7174926757812585,0.5843364135844633,0.4472510155469179,1.8525094428926705,-0.1630024313926696,-0.4741725325584411,-0.4737789332866668
0.7274575195312565,0.6138372698895633,0.2739092955946922,1.920038672286272,-0.2002065330743789,-0.5248966813087463,-0.4708478450775146
0.7374235839843806,0.595990136096999,0.1141144549578428,1.980558315178752,-0.2708308696746826,-0.543717086315155,-0.4586458504199981
0.7473884277343785,0.5448683996142819,-0.0811380680292844,2.0157710828572517,-0.3607285320758819,-0.5217441320419312,-0.4520987272262573
0.7573537597656212,0.4675743301946669,-0.2383870235756039,1.9918156222522256,-0.4577507078647613,-0.4833214282989502,-0.4472917318344116
0.7673186035156334,0.3982943481435999,-0.3344432592734694,1.8671604840576648,-0.5578024387359619,-0.4353371262550354,-0.4442349374294281
0.7772836914062538,0.3391668537292629,-0.4039636624842881,1.640892060559988,-0.6395262479782104,-0.4121513366699219,-0.4456626176834106
0.7872497558593778,0.2642074743349105,-0.4308341337531804,1.4050363090276716,-0.700821578502655,-0.3919083774089813,-0.4425666928291321
0.7972145996093758,0.2269264124823734,-0.5000450326234102,1.1409691930115222,-0.7278334498405457,-0.3716596066951751,-0.4281965494155884
0.8071794433593737,0.2770123396439478,-0.5973886777833104,0.884462283116579,-0.7306156158447266,-0.360282301902771,-0.4166661202907562
0.8171445312500083,0.2915703687632456,-0.7242720134213566,0.6613321576446295,-0.7079501748085022,-0.3433282971382141,-0.3994636535644531
0.8271105957031324,0.3243974468816071,-0.8497223936468362,0.4547212052971124,-0.667927622795105,-0.3343638181686401,-0.3846349120140075
0.8370754394531303,0.4143558771610259,-0.9078802758440376,0.172167999997735,-0.6112905740737915,-0.3487313687801361,-0.3701100647449493
0.8470405273437507,0.446648373478651,-0.9532558333575724,-0.1479232010573148,-0.5252143144607544,-0.3750732243061065,-0.3386410772800445
0.8570058593750076,0.4320956050563603,-1.0277011257499455,-0.4064771066099405,-0.4162598550319671,-0.3965319991111755,-0.2942261695861816
0.8669716796875093,0.4448750801958143,-1.1014774328395724,-0.6560691225498915,-0.3028805553913116,-0.4130654335021972,-0.2520062625408172
0.8769365234375073,0.4376161220435053,-1.1437179071977734,-0.9378606958270072,-0.1944586187601089,-0.4220585227012634,-0.218834102153778
0.8869016113281276,0.3898792422261088,-1.2266507496893406,-1.184845744138956,-0.0959341675043106,-0.4147854149341583,-0.1778397858142852
